Language,Family,Branch,First-language(L1)speakers(millions),Second-language(L2)speakers,Totalspeakers(L1+L2),
English(excl.creolelanguages),Indo-European,Germanic,372.9,1.08,1.452,
MandarinChinese(incl.StandardChinese,butexcl.othervarieties),Sino-Tibetan,,929,198.76,1.118
Hindi(excl.Urdu),Indo-European,Indo-Aryan,343.9,258.37,602.2,
Spanish,Indo-European,Romance,474.7,73.68,548.3,
French,Indo-European,Romance,79.9,194.29,274.1,
ModernStandardArabic(excl.dialects),Indo-European,Semitic,0,274.011,274,
Bengali,Indo-European,Indo-Aryan,233.7,39.012,272.7,
Russian,Indo-European,Balto-Slavic,154,104.113,258.2,
Portuguese,Indo-European,Romance,232.4,25.214,257.7,
Urdu(excl.Hindi),Indo-European,Indo-Aryan,70.2,161.015,231.3,
Indonesian(excl.Malay),Austronesian,Malayo-Polynesian,43.6,155.416,199,
StandardGerman,--,Germanic,75.6,59.117,134.6,
Japanese,Japonic,,125.3,0.118,125.4,
NigerianPidgin,EnglishCreole,Krio,,116.019,120.7,
Marathi,Indo-European,Indo-Aryan,83.1,16.02,99.1,
Telugu,Dravidian,South-Central,82.7,13.021,95.7,
Turkish,Turkic,Oghuz,82.2,5.922,88.1,
Tamil,Dravidian,Southern,78.4,8.023,86.4,
YueChinese(incl.Cantonese),Sino-Tibetan,Sinitic,85.2,0.424,85.6,
Vietnamese,Austroasiatic,Vietic,84.6,0.725,85.3,
Tagalogb,Austronesian,CentralPhilippine,,54.226,82.3,
WuChinese(incl.Shanghainese),Sino-Tibetan,Sinitic,81.7,0.127,81.8,
Korean,Koreanic,--,,--,81.7,
IranianPersian(excl.DariandTajik),Indo-European,Iranian,56.4,21.029,77.4,
Hausa,Afro-Asiatic,Chadic,50.8,26.33,77.1,
EgyptianSpokenArabic(excl.otherArabicdialects),Afro-Asiatic,Semitic,,--,74.8,
Swahili,--,Bantu,,55.432,71.4,
Japanese,Japonic,,125.3,0.118,125.4,
Italian,Indo-European,Romance,64.8,3.134,67.9,
WesternPunjabi(excl.EasternPunjabi),Indo-European,Indo-Aryan,,--,66.4,
Kannada,Dravidian,Southern,48.6,15.436,64,
Gujarati,Indo-European,Indo-Aryan,57,5.037,62,
Thai,Kraâ Dai,Zhuangâ Tai,,40.038,60.7,
Amharic,Afro-Asiatic,Semitic,32.4,25.139,57.5,
Bhojpuri,Indo-European,Indo-Aryan,52.3,0.24,52.5,
EasternPunjabi(excl.WesternPunjabi),Indo-European,Indo-Aryan,48.1,3.641,51.7,
MinNanChinese(incl.Hokkien),Sino-Tibetan,Sinitic,49.3,0.442,49.7,
JinChinese,Sino-Tibetan,Sinitic,,--,47.1,
Yoruba,--,AtlanticCongo,43.6,2.044,45.6,
HakkaChinese,Sino-Tibetan,Sinitic,43.8,0.245,44.1,
Burmese,Sino-Tibetan,Tibeto-Burman,33,10.046,43,
SudaneseSpokenArabic,Afro-Asiatic,Semitic,33.3,9.047,42.3,
Polish,Indo-European,Balto-Slavic,40,0.748,40.6,
AlgerianSpokenArabic,Afro-Asiatic,Semitic,34.7,5.649,40.3,
Russian,Indo-European,Balto-Slavic,154,104.113,258.2,
